SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,"Motherwell, Wishaw and Carluke",Female,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,588
Individuals,"Motherwell, Wishaw and Carluke",Female,50 to 54,Degree level qualifications or above,1054
Individuals,"Motherwell, Wishaw and Carluke",Female,55 to 59,All people aged 16 and over,3831
Individuals,"Motherwell, Wishaw and Carluke",Female,55 to 59,No qualifications,843
Individuals,"Motherwell, Wishaw and Carluke",Female,55 to 59,Lower school qualifications,938
Individuals,"Motherwell, Wishaw and Carluke",Female,55 to 59,Upper school qualifications,443
Individuals,"Motherwell, Wishaw and Carluke",Female,55 to 59,Apprenticeship qualifications,65
Individuals,"Motherwell, Wishaw and Carluke",Female,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,495
Individuals,"Motherwell, Wishaw and Carluke",Female,55 to 59,Degree level qualifications or above,1043
Individuals,"Motherwell, Wishaw and Carluke",Female,60 to 64,All people aged 16 and over,3372
Individuals,"Motherwell, Wishaw and Carluke",Female,60 to 64,No qualifications,903
Individuals,"Motherwell, Wishaw and Carluke",Female,60 to 64,Lower school qualifications,856
Individuals,"Motherwell, Wishaw and Carluke",Female,60 to 64,Upper school qualifications,341
Individuals,"Motherwell, Wishaw and Carluke",Female,60 to 64,Apprenticeship qualifications,45
Individuals,"Motherwell, Wishaw and Carluke",Female,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,397
Individuals,"Motherwell, Wishaw and Carluke",Female,60 to 64,Degree level qualifications or above,834
Individuals,"Motherwell, Wishaw and Carluke",Female,65 to 69,All people aged 16 and over,2779
Individuals,"Motherwell, Wishaw and Carluke",Female,65 to 69,No qualifications,1066
Individuals,"Motherwell, Wishaw and Carluke",Female,65 to 69,Lower school qualifications,535
Individuals,"Motherwell, Wishaw and Carluke",Female,65 to 69,Upper school qualifications,265
Individuals,"Motherwell, Wishaw and Carluke",Female,65 to 69,Apprenticeship qualifications,50
Individuals,"Motherwell, Wishaw and Carluke",Female,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,238
Individuals,"Motherwell, Wishaw and Carluke",Female,65 to 69,Degree level qualifications or above,625
Individuals,"Motherwell, Wishaw and Carluke",Female,70 to 74,All people aged 16 and over,2491
Individuals,"Motherwell, Wishaw and Carluke",Female,70 to 74,No qualifications,1190
Individuals,"Motherwell, Wishaw and Carluke",Female,70 to 74,Lower school qualifications,459
Individuals,"Motherwell, Wishaw and Carluke",Female,70 to 74,Upper school qualifications,152
Individuals,"Motherwell, Wishaw and Carluke",Female,70 to 74,Apprenticeship qualifications,46
Individuals,"Motherwell, Wishaw and Carluke",Female,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,148
Individuals,"Motherwell, Wishaw and Carluke",Female,70 to 74,Degree level qualifications or above,502
Individuals,"Motherwell, Wishaw and Carluke",Female,75 to 79,All people aged 16 and over,1922
Individuals,"Motherwell, Wishaw and Carluke",Female,75 to 79,No qualifications,1155
Individuals,"Motherwell, Wishaw and Carluke",Female,75 to 79,Lower school qualifications,308
Individuals,"Motherwell, Wishaw and Carluke",Female,75 to 79,Upper school qualifications,89
Individuals,"Motherwell, Wishaw and Carluke",Female,75 to 79,Apprenticeship qualifications,40
Individuals,"Motherwell, Wishaw and Carluke",Female,75 to 79,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,87
Individuals,"Motherwell, Wishaw and Carluke",Female,75 to 79,Degree level qualifications or above,243
Individuals,"Motherwell, Wishaw and Carluke",Female,80 to 84,All people aged 16 and over,1409
Individuals,"Motherwell, Wishaw and Carluke",Female,80 to 84,No qualifications,874
Individuals,"Motherwell, Wishaw and Carluke",Female,80 to 84,Lower school qualifications,229
Individuals,"Motherwell, Wishaw and Carluke",Female,80 to 84,Upper school qualifications,51
Individuals,"Motherwell, Wishaw and Carluke",Female,80 to 84,Apprenticeship qualifications,24
Individuals,"Motherwell, Wishaw and Carluke",Female,80 to 84,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,51
Individuals,"Motherwell, Wishaw and Carluke",Female,80 to 84,Degree level qualifications or above,182
Individuals,"Motherwell, Wishaw and Carluke",Female,85 and over,All people aged 16 and over,1332
Individuals,"Motherwell, Wishaw and Carluke",Female,85 and over,No qualifications,904
Individuals,"Motherwell, Wishaw and Carluke",Female,85 and over,Lower school qualifications,178
Individuals,"Motherwell, Wishaw and Carluke",Female,85 and over,Upper school qualifications,42
Individuals,"Motherwell, Wishaw and Carluke",Female,85 and over,Apprenticeship qualifications,20
Individuals,"Motherwell, Wishaw and Carluke",Female,85 and over,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,30
Individuals,"Motherwell, Wishaw and Carluke",Female,85 and over,Degree level qualifications or above,158
Individuals,"Motherwell, Wishaw and Carluke",Male,Total,All people aged 16 and over,38659
Individuals,"Motherwell, Wishaw and Carluke",Male,Total,No qualifications,7377
Individuals,"Motherwell, Wishaw and Carluke",Male,Total,Lower school qualifications,7673
Individuals,"Motherwell, Wishaw and Carluke",Male,Total,Upper school qualifications,3737
Individuals,"Motherwell, Wishaw and Carluke",Male,Total,Apprenticeship qualifications,5839
Individuals,"Motherwell, Wishaw and Carluke",Male,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,5747
Individuals,"Motherwell, Wishaw and Carluke",Male,Total,Degree level qualifications or above,8286
Individuals,"Motherwell, Wishaw and Carluke",Male,16 to 19,All people aged 16 and over,2155
Individuals,"Motherwell, Wishaw and Carluke",Male,16 to 19,No qualifications,234
Individuals,"Motherwell, Wishaw and Carluke",Male,16 to 19,Lower school qualifications,897
Individuals,"Motherwell, Wishaw and Carluke",Male,16 to 19,Upper school qualifications,687
Individuals,"Motherwell, Wishaw and Carluke",Male,16 to 19,Apprenticeship qualifications,112
Individuals,"Motherwell, Wishaw and Carluke",Male,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,158
Individuals,"Motherwell, Wishaw and Carluke",Male,16 to 19,Degree level qualifications or above,70
Individuals,"Motherwell, Wishaw and Carluke",Male,20 to 24,All people aged 16 and over,2803
Individuals,"Motherwell, Wishaw and Carluke",Male,20 to 24,No qualifications,244
Individuals,"Motherwell, Wishaw and Carluke",Male,20 to 24,Lower school qualifications,638
Individuals,"Motherwell, Wishaw and Carluke",Male,20 to 24,Upper school qualifications,483
Individuals,"Motherwell, Wishaw and Carluke",Male,20 to 24,Apprenticeship qualifications,307
Individuals,"Motherwell, Wishaw and Carluke",Male,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,585
Individuals,"Motherwell, Wishaw and Carluke",Male,20 to 24,Degree level qualifications or above,546
Individuals,"Motherwell, Wishaw and Carluke",Male,25 to 29,All people aged 16 and over,2817
Individuals,"Motherwell, Wishaw and Carluke",Male,25 to 29,No qualifications,241
Individuals,"Motherwell, Wishaw and Carluke",Male,25 to 29,Lower school qualifications,592
Individuals,"Motherwell, Wishaw and Carluke",Male,25 to 29,Upper school qualifications,286
Individuals,"Motherwell, Wishaw and Carluke",Male,25 to 29,Apprenticeship qualifications,301
Individuals,"Motherwell, Wishaw and Carluke",Male,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,601
Individuals,"Motherwell, Wishaw and Carluke",Male,25 to 29,Degree level qualifications or above,800
Individuals,"Motherwell, Wishaw and Carluke",Male,30 to 34,All people aged 16 and over,2930
Individuals,"Motherwell, Wishaw and Carluke",Male,30 to 34,No qualifications,238
Individuals,"Motherwell, Wishaw and Carluke",Male,30 to 34,Lower school qualifications,652
Individuals,"Motherwell, Wishaw and Carluke",Male,30 to 34,Upper school qualifications,292
Individuals,"Motherwell, Wishaw and Carluke",Male,30 to 34,Apprenticeship qualifications,365
Individuals,"Motherwell, Wishaw and Carluke",Male,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,595
Individuals,"Motherwell, Wishaw and Carluke",Male,30 to 34,Degree level qualifications or above,791
Individuals,"Motherwell, Wishaw and Carluke",Male,35 to 39,All people aged 16 and over,2963
Individuals,"Motherwell, Wishaw and Carluke",Male,35 to 39,No qualifications,251
Individuals,"Motherwell, Wishaw and Carluke",Male,35 to 39,Lower school qualifications,689
Individuals,"Motherwell, Wishaw and Carluke",Male,35 to 39,Upper school qualifications,339
Individuals,"Motherwell, Wishaw and Carluke",Male,35 to 39,Apprenticeship qualifications,307
Individuals,"Motherwell, Wishaw and Carluke",Male,35 to 39,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,560
Individuals,"Motherwell, Wishaw and Carluke",Male,35 to 39,Degree level qualifications or above,817
Individuals,"Motherwell, Wishaw and Carluke",Male,40 to 44,All people aged 16 and over,3161
Individuals,"Motherwell, Wishaw and Carluke",Male,40 to 44,No qualifications,311
Individuals,"Motherwell, Wishaw and Carluke",Male,40 to 44,Lower school qualifications,786
Individuals,"Motherwell, Wishaw and Carluke",Male,40 to 44,Upper school qualifications,278
Individuals,"Motherwell, Wishaw and Carluke",Male,40 to 44,Apprenticeship qualifications,297
Individuals,"Motherwell, Wishaw and Carluke",Male,40 to 44,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,570
Individuals,"Motherwell, Wishaw and Carluke",Male,40 to 44,Degree level qualifications or above,918
Individuals,"Motherwell, Wishaw and Carluke",Male,45 to 49,All people aged 16 and over,3087
Individuals,"Motherwell, Wishaw and Carluke",Male,45 to 49,No qualifications,368
Individuals,"Motherwell, Wishaw and Carluke",Male,45 to 49,Lower school qualifications,742
Individuals,"Motherwell, Wishaw and Carluke",Male,45 to 49,Upper school qualifications,262
Individuals,"Motherwell, Wishaw and Carluke",Male,45 to 49,Apprenticeship qualifications,364
Individuals,"Motherwell, Wishaw and Carluke",Male,45 to 49,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,540
Individuals,"Motherwell, Wishaw and Carluke",Male,45 to 49,Degree level qualifications or above,807
Individuals,"Motherwell, Wishaw and Carluke",Male,50 to 54,All people aged 16 and over,3645
Individuals,"Motherwell, Wishaw and Carluke",Male,50 to 54,No qualifications,715
Individuals,"Motherwell, Wishaw and Carluke",Male,50 to 54,Lower school qualifications,877
Individuals,"Motherwell, Wishaw and Carluke",Male,50 to 54,Upper school qualifications,297
Individuals,"Motherwell, Wishaw and Carluke",Male,50 to 54,Apprenticeship qualifications,459
Individuals,"Motherwell, Wishaw and Carluke",Male,50 to 54,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,530
Individuals,"Motherwell, Wishaw and Carluke",Male,50 to 54,Degree level qualifications or above,769
Individuals,"Motherwell, Wishaw and Carluke",Male,55 to 59,All people aged 16 and over,3711
Individuals,"Motherwell, Wishaw and Carluke",Male,55 to 59,No qualifications,931
Individuals,"Motherwell, Wishaw and Carluke",Male,55 to 59,Lower school qualifications,684
Individuals,"Motherwell, Wishaw and Carluke",Male,55 to 59,Upper school qualifications,269
Individuals,"Motherwell, Wishaw and Carluke",Male,55 to 59,Apprenticeship qualifications,552
Individuals,"Motherwell, Wishaw and Carluke",Male,55 to 59,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,526
Individuals,"Motherwell, Wishaw and Carluke",Male,55 to 59,Degree level qualifications or above,752
Individuals,"Motherwell, Wishaw and Carluke",Male,60 to 64,All people aged 16 and over,3184
Individuals,"Motherwell, Wishaw and Carluke",Male,60 to 64,No qualifications,856
Individuals,"Motherwell, Wishaw and Carluke",Male,60 to 64,Lower school qualifications,449
Individuals,"Motherwell, Wishaw and Carluke",Male,60 to 64,Upper school qualifications,183
Individuals,"Motherwell, Wishaw and Carluke",Male,60 to 64,Apprenticeship qualifications,691
Individuals,"Motherwell, Wishaw and Carluke",Male,60 to 64,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,374
Individuals,"Motherwell, Wishaw and Carluke",Male,60 to 64,Degree level qualifications or above,631
Individuals,"Motherwell, Wishaw and Carluke",Male,65 to 69,All people aged 16 and over,2642
Individuals,"Motherwell, Wishaw and Carluke",Male,65 to 69,No qualifications,791
Individuals,"Motherwell, Wishaw and Carluke",Male,65 to 69,Lower school qualifications,259
Individuals,"Motherwell, Wishaw and Carluke",Male,65 to 69,Upper school qualifications,165
Individuals,"Motherwell, Wishaw and Carluke",Male,65 to 69,Apprenticeship qualifications,624
Individuals,"Motherwell, Wishaw and Carluke",Male,65 to 69,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,300
Individuals,"Motherwell, Wishaw and Carluke",Male,65 to 69,Degree level qualifications or above,506
Individuals,"Motherwell, Wishaw and Carluke",Male,70 to 74,All people aged 16 and over,2245
Individuals,"Motherwell, Wishaw and Carluke",Male,70 to 74,No qualifications,745
Individuals,"Motherwell, Wishaw and Carluke",Male,70 to 74,Lower school qualifications,175
Individuals,"Motherwell, Wishaw and Carluke",Male,70 to 74,Upper school qualifications,105
Individuals,"Motherwell, Wishaw and Carluke",Male,70 to 74,Apprenticeship qualifications,606
Individuals,"Motherwell, Wishaw and Carluke",Male,70 to 74,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,186
Individuals,"Motherwell, Wishaw and Carluke",Male,70 to 74,Degree level qualifications or above,432
Individuals,"Motherwell, Wishaw and Carluke",Male,75 to 79,All people aged 16 and over,1574
Individuals,"Motherwell, Wishaw and Carluke",Male,75 to 79,No qualifications,654
Individuals,"Motherwell, Wishaw and Carluke",Male,75 to 79,Lower school qualifications,109
