SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,Aberdeen North,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,53821
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Owned: Total,30460
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Owned: Owned outright,15186
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,14555
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),247
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),476
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,15236
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Private rented: Total,7467
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,7255
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Private rented: Other,212
Households,Aberdeen North,All Household Reference Persons aged 16 and over,Lives Rent Free,654
Households,Aberdeen North,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,11437
Households,Aberdeen North,Household Reference Person ages 16 to 34,Owned: Total,4414
Households,Aberdeen North,Household Reference Person ages 16 to 34,Owned: Owned outright,553
Households,Aberdeen North,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,3612
Households,Aberdeen North,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),44
Households,Aberdeen North,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),205
Households,Aberdeen North,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2820
Households,Aberdeen North,Household Reference Person ages 16 to 34,Private rented: Total,4033
Households,Aberdeen North,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,3968
Households,Aberdeen North,Household Reference Person ages 16 to 34,Private rented: Other,62
Households,Aberdeen North,Household Reference Person ages 16 to 34,Lives Rent Free,170
Households,Aberdeen North,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,14166
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Owned: Total,7692
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Owned: Owned outright,1061
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,6410
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),52
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),170
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4142
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Private rented: Total,2232
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,2158
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Private rented: Other,74
Households,Aberdeen North,Household Reference Person is aged 35 to 49,Lives Rent Free,100
Households,Aberdeen North,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14252
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Owned: Total,9003
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Owned: Owned outright,4842
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4040
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),77
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),48
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4268
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Private rented: Total,869
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,832
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Private rented: Other,33
Households,Aberdeen North,Household Reference Person is aged 50 to 64,Lives Rent Free,113
Households,Aberdeen North,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,13966
Households,Aberdeen North,Household Reference Person is aged 65 and over,Owned: Total,9352
Households,Aberdeen North,Household Reference Person is aged 65 and over,Owned: Owned outright,8731
Households,Aberdeen North,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,496
Households,Aberdeen North,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),76
Households,Aberdeen North,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),53
Households,Aberdeen North,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4006
Households,Aberdeen North,Household Reference Person is aged 65 and over,Private rented: Total,335
Households,Aberdeen North,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,297
Households,Aberdeen North,Household Reference Person is aged 65 and over,Private rented: Other,43
Households,Aberdeen North,Household Reference Person is aged 65 and over,Lives Rent Free,271
Households,Aberdeen South,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,55624
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Owned: Total,31339
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Owned: Owned outright,16180
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,14653
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),211
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),295
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9273
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Private rented: Total,14241
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,14021
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Private rented: Other,222
Households,Aberdeen South,All Household Reference Persons aged 16 and over,Lives Rent Free,775
Households,Aberdeen South,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,15808
Households,Aberdeen South,Household Reference Person ages 16 to 34,Owned: Total,4796
Households,Aberdeen South,Household Reference Person ages 16 to 34,Owned: Owned outright,812
Households,Aberdeen South,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,3800
Households,Aberdeen South,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),52
Households,Aberdeen South,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),130
Households,Aberdeen South,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1837
Households,Aberdeen South,Household Reference Person ages 16 to 34,Private rented: Total,8869
Households,Aberdeen South,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,8766
Households,Aberdeen South,Household Reference Person ages 16 to 34,Private rented: Other,104
Households,Aberdeen South,Household Reference Person ages 16 to 34,Lives Rent Free,307
Households,Aberdeen South,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,14057
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Owned: Total,7826
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Owned: Owned outright,1294
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,6410
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),37
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),89
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2540
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Private rented: Total,3572
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,3531
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Private rented: Other,44
Households,Aberdeen South,Household Reference Person is aged 35 to 49,Lives Rent Free,112
Households,Aberdeen South,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,13471
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Owned: Total,9368
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Owned: Owned outright,5385
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,3872
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),75
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),33
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2622
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Private rented: Total,1360
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,1330
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Private rented: Other,28
Households,Aberdeen South,Household Reference Person is aged 50 to 64,Lives Rent Free,121
Households,Aberdeen South,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,12292
Households,Aberdeen South,Household Reference Person is aged 65 and over,Owned: Total,9346
Households,Aberdeen South,Household Reference Person is aged 65 and over,Owned: Owned outright,8686
Households,Aberdeen South,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,570
Households,Aberdeen South,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),47
Households,Aberdeen South,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),43
Households,Aberdeen South,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2274
Households,Aberdeen South,Household Reference Person is aged 65 and over,Private rented: Total,437
Households,Aberdeen South,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,391
Households,Aberdeen South,Household Reference Person is aged 65 and over,Private rented: Other,44
Households,Aberdeen South,Household Reference Person is aged 65 and over,Lives Rent Free,235
Households,Aberdeenshire North and Moray East,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,45246
Households,Aberdeenshire North and Moray East,All Household Reference Persons aged 16 and over,Owned: Total,30621
Households,Aberdeenshire North and Moray East,All Household Reference Persons aged 16 and over,Owned: Owned outright,18302
